0x1000 {}
0x1001 {7892}
0x1002 {1772}
0x1003 {4081,4081}
0x1004 {7988}
0x1005 {2654,2654}
0x1006 {1247,1247}
0x1007 {2654,80,1}
0x1008 {7148}
0x1009 {1723,1723}
0x100a {3924,3924}
0x100b {917,917,12}
0x100c {3053,3053}
0x100d {8178,81,26}
0x100e {7988,49,13}
0x100f {242,242,1,1}
0x1010 {6128}
0x1011 {104,104}
0x1012 {1177,1177}
0x1013 {8178,114,17}
0x1014 {1072,1072}
0x1015 {7652,58,16}
0x1016 {7652,34,24}
0x1017 {1007,1007,19,19}
0x1018 {2031,2031}
0x1019 {6128,159,27}
0x101a {8178,84,35}
0x101b {806,806,22,22}
0x101c {7892,181,36}
0x101d {4081,4081,18,18}
0x101e {497,497,23,23}
0x101f {876,876,1,1,1}
0x1020 {7652}
0x1021 {749,749}
0x1022 {572,572}
0x1023 {7892,191,20}
0x1024 {1247,1247}
0x1025 {2374,56,14}
0x1026 {344,72,24}
0x1027 {806,806,16,16}
0x1028 {1010,1010}
0x1029 {8178,87,31}
0x102a {2542,2542,2}
0x102b {239,239,10,10}
0x102c {1130,71,23}
0x102d {4082,4082,14,14}
0x102e {1177,1177,16,16}
0x102f {6128,327,37,14,1}
0x1030 {4081,4081}
0x1031 {7148,116,16}
0x1032 {8178,212,25}
0x1033 {197,197,16,16}
0x1034 {1511,63,23}
0x1035 {407,407,12,12}
0x1036 {3924,3924,32,32}
0x1037 {8178,121,16,11,1}
0x1038 {7148,58,24}
0x1039 {3924,3924,16,16}
0x103a {731,731,21,21}
0x103b {7892,149,12,12,1}
0x103c {113,113,25,25}
0x103d {1892,127,38,9,1}
0x103e {7892,212,33,12,1}
0x103f {4081,4081,1,1,1,1}
0x1041 {1352,1352}
0x1042 {4079,4079}
0x1043 {1772,79,26}
0x1044 {1010,1010}
0x1045 {8178,26,14}
0x1046 {8178,182,10}
0x1047 {225,225,11,11}
0x1048 {4081,4081}
0x1049 {2542,2542,13}
0x104a {917,127,23}
0x104b {260,260,9,9}
0x104c {204,204,25}
0x104d {1511,1511,18,18}
0x104e {498,498,9,9}
0x104f {8178,52,26,7,1}
0x1050 {3924,3924}
0x1051 {344,72,34}
0x1052 {8178,198,17}
0x1053 {4079,4079,8,8}
0x1054 {7148,84,30}
